"fecha","TOTAL NACIONAL-Producción de Petróleo Crudo","TOTAL NACIONAL-PRODUCCIÓN DE PETRÓLEO CRUDO FISCALIZADA (Miles de barriles)","TOTAL NACIONAL-EXPORTACIONES DE PETRÓLEO CRUDO (Miles de barriles)","TOTAL NACIONAL-CRUDO RECIBIDO EN REFINERÍAS Y CONSUMO EN OLEODUCTO (Miles de barriles)","TOTAL NACIONAL-MATERIA PRIMA PROCESADA EN REFINERÍAS (Miles de barriles)","TOTAL NACIONAL-TRANSPORTE POR OLEODUCTOS (Miles de barriles)","TOTAL NACIONAL-PRODUCCIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-IMPORTACIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-CONSUMO INTERNO DE DERIVADOS (Miles de barriles)","TOTAL EXPORTACIONES DE PETRÓLEO (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE EMPRESAS PÚBLICAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE COMPAÑÍAS PRIVADAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE MEM (miles de barriles)","TOTAL EXPORTACIONES DE DERIVADOS (miles de barriles)","Exportaciones de Derivados (miles de barriles)","Ingresos de EP PETROECUADOR por Exportaciones (miles de USD)","DIFERENCIA INGRESOS Y EGRESOS (miles de USD)","Precio Promedio Mensual WTI","Precio Promedio Mensual Brent","smoothed"
2012-11-01,15125.05517,14727.73288,9278.00729,4901.22439,4823.87496,14388.12097,5749.3686171101,3896.23227,7456.94572642048,9278.00729,8137.48452,0,1140.52277,516.79937,2.94188871958795,796442.33853,-322999.011550633,86.59,109.11,9.64473871126988
2012-12-01,15604.52528,15408.27364,11054.96556,4531.78409,4460.57643,15251.38559,6277.08596772695,3842.71674,7751.83754341729,11054.96556,9084.47768,0,1970.48788,689.19026,4.97689601076195,915115.35292,-294621.298631515,88.23,109.29,9.64837362302404
2013-01-01,15656.41783,15491.6687,10507.93187,4968.36842,4898.49605,15570.9576,5996.51806058333,3278.88693,7581.51699917143,10507.93187,9145.25464,0,1362.67723,381.08509,55.979011248593,956260.72233,-245871.934636862,94.77,113.01,9.65194308880256
2013-02-01,14262.41351,13928.24684,11703.73844,3169.84539,3092.40119,13512.28421,4787.001551958,4174.41358,6570.95224875714,11703.73844,10298.54472,0,1405.19372,347.26568,13.23257291428,1073277.53976,-352876.312203491,95.31,116.29,9.65584832857621
2013-03-01,15631.09342,15279.13044,11931.45129,3583.50626,3511.49968,14830.8551,4992.34154399043,4275.05505,6846.89956291191,11931.45129,10548.36475,0,1383.08654,556.3777,107.137932315854,1086487.61595,-365807.349528823,92.87,108.37,9.66043611348572
2013-04-01,15471.80133,15236.23276,10306.7654,3668.76876,3594.19695,14878.69694,5029.17467422709,3683.82048,7359.26388664762,10306.7654,9074.57476,0,1232.19064,526.65203,36.0524015966579,920108.79998,-284034.860077051,91.97,102.17,9.66635841359532
2013-05-01,16166.88293,16075.84661,10899.18329,5032.09556,4965.01912,15736.09727,6068.95017721848,3701.85584,7815.7985662881,10899.18329,9865.34558,0,1033.83771,364.61936,57.179329361273,987219.51823,-279358.189999525,94.6,102.53,9.67284656638246
2013-06-01,15721.28731,15398.04162,11386.33149,4486.49369,4419.53381,14742.43212,5915.68250062048,4533.10975,7262.71777979762,11386.33149,9833.35102,0,1552.98047,382.30675,10.159926943978,966887.74836,-347319.813288883,95.74,102.92,9.67996081733316
2013-07-01,16437.44656,16033.20111,12568.55544,4829.67199,4746.29244,16243.83617,6555.76088961747,3206.89959,7533.71154876667,12568.55544,11212.16781,0,1356.38763,759.7336,112.043381916545,1208801.94875,-238268.80895985,104.51,107.96,9.68708762222188
2013-08-01,16634.12909,16402.49126,12027.39048,4766.79901,4687.03553,16082.67408,6225.37375703625,4977.73087,7557.73588433809,12027.39048,10687.61022,0,1339.78026,905.67792,88.042325654032,1134210.6088,-354729.269845504,106.55,111.27,9.69360252372683
